lat,lng,postal_code,place_id
39.2568638,-96.4396888,66535,ChIJpbnr7UbWvYcROSzD86w7mqQ
39.43190209999999,-96.4503434,66549,ChIJ4VgxOJ7fvYcRec3RkTyCztA
39.43190209999999,-96.4503434,66549,ChIJ4VgxOJ7fvYcRec3RkTyCztA
39.2540853,-96.30134319999999,66547,ChIJpQS6Q_F7vocRVtJT22DTlrg
39.2540853,-96.30134319999999,66547,ChIJpQS6Q_F7vocRVtJT22DTlrg
39.1998042,-96.581008,66506,ChIJK_UzHovNvYcR74uTdySQQaA
39.4223073,-96.62106109999999,66520,ChIJNRyri-XCvYcRqtAJWo3FoN0
38.94403519999999,-96.2800864,66401,ChIJMRSqSD-bvocRE0PKzkdAtdM
38.94403519999999,-96.2800864,66401,ChIJMRSqSD-bvocRE0PKzkdAtdM
38.94403519999999,-96.2800864,66401,ChIJMRSqSD-bvocRE0PKzkdAtdM
38.94403519999999,-96.2800864,66401,ChIJMRSqSD-bvocRE0PKzkdAtdM
39.0961493,-96.5356449,66502,ChIJpRNfRgLTvYcRoTN-3mTtwQo
39.0961493,-96.5356449,66502,ChIJpRNfRgLTvYcRoTN-3mTtwQo
39.114178,-96.7199658,66517,ChIJ3TDRXME0vIcRc8qdS-8TEj0
39.1758127,-96.2163597,66407,ChIJ3UntC55jvocRixMoKD_99uc
39.2326802,-96.6851982,66503,ChIJY1mZUBfGvYcRlCqWLql6LqE
39.2239661,-96.0891032,66536,ChIJOwCCwpZgvocRD-a8Qe9NxDU
39.1228935,-95.62476699999999,66617,ChIJq7Gxe98Gv4cRNq4DdyIYieA
39.1228935,-95.62476699999999,66617,ChIJq7Gxe98Gv4cRNq4DdyIYieA
39.1228935,-95.62476699999999,66617,ChIJq7Gxe98Gv4cRNq4DdyIYieA
39.1228935,-95.62476699999999,66617,ChIJq7Gxe98Gv4cRNq4DdyIYieA
39.1228935,-95.62476699999999,66617,ChIJq7Gxe98Gv4cRNq4DdyIYieA
39.0579929,-95.8881542,66615,ChIJa-QlCI7wvocRJcmknLDXlD0
39.0579929,-95.8881542,66615,ChIJa-QlCI7wvocRJcmknLDXlD0
39.0579929,-95.8881542,66615,ChIJa-QlCI7wvocRJcmknLDXlD0
39.0579929,-95.8881542,66615,ChIJa-QlCI7wvocRJcmknLDXlD0
39.1476313,-95.9621106,66533,ChIJVexttCL2vocRJmke8WhSX3g
39.1476313,-95.9621106,66533,ChIJVexttCL2vocRJmke8WhSX3g
39.1476313,-95.9621106,66533,ChIJVexttCL2vocRJmke8WhSX3g
39.3383265,-96.07851040000001,66422,ChIJV-7CI01dvocRAXAhfdHELr0
39.27409859999999,-95.9198387,66418,ChIJsaTPcEVavocRuw2tqTR8Z9o
39.27409859999999,-95.9198387,66418,ChIJsaTPcEVavocRuw2tqTR8Z9o
39.4785846,-95.9621106,66540,ChIJHXUjPUNHvocRstncryfNejw
39.4457756,-96.19513200000002,66521,ChIJj3riwkBtvocRWBJZKyhBBBw
38.97933520000001,-96.0044121,66507,ChIJFZYyhBjzvocRuPvA8_Uffoo
38.97933520000001,-96.0044121,66507,ChIJFZYyhBjzvocRuPvA8_Uffoo
38.97933520000001,-96.0044121,66507,ChIJFZYyhBjzvocRuPvA8_Uffoo
38.97933520000001,-96.0044121,66507,ChIJFZYyhBjzvocRuPvA8_Uffoo
39.0558421,-96.13149279999999,66526,ChIJ9ZcDVUmJvocRB28YKAfE448
39.0558421,-96.13149279999999,66526,ChIJ9ZcDVUmJvocRB28YKAfE448
39.4742161,-96.0467429,66432,ChIJ9ScadgJAvocR4uB-lx_gn8E
39.2452642,-95.6668306,66440,ChIJ-bKlpICrv4cRiSPWw6JPbRU
39.2452642,-95.6668306,66440,ChIJ-bKlpICrv4cRiSPWw6JPbRU
39.1933875,-95.8775964,66539,ChIJwfiWWpr4vocRMJgDa9U8djc
39.1933875,-95.8775964,66539,ChIJwfiWWpr4vocRMJgDa9U8djc
39.1582314,-95.7510475,66618,ChIJeUUSrav_vocRWzsSp54KhSU
39.1582314,-95.7510475,66618,ChIJeUUSrav_vocRWzsSp54KhSU
39.3218496,-95.7932008,66509,ChIJYWpy9H5SvocRGQgBbWv5ihM
39.3218496,-95.7932008,66509,ChIJYWpy9H5SvocRGQgBbWv5ihM
39.2098829,-95.5407299,66512,ChIJ7fcCrcSnv4cR8pdYluD5Bks
39.2098829,-95.5407299,66512,ChIJ7fcCrcSnv4cR8pdYluD5Bks
39.0842713,-95.6720907,66608,ChIJ08OqjL8Dv4cRJc8IP6CYpKM
39.0842713,-95.6720907,66608,ChIJ08OqjL8Dv4cRJc8IP6CYpKM
39.0842713,-95.6720907,66608,ChIJ08OqjL8Dv4cRJc8IP6CYpKM
39.3616344,-95.6142558,66419,ChIJiUAN1zOwv4cR3zzT8rbm0Jc
39.3616344,-95.6142558,66419,ChIJiUAN1zOwv4cR3zzT8rbm0Jc
39.0932307,-95.37301760000001,66073,ChIJnbs80CYLv4cRjTwg1kaBJQg
39.0932307,-95.37301760000001,66073,ChIJnbs80CYLv4cRjTwg1kaBJQg
39.0932307,-95.37301760000001,66073,ChIJnbs80CYLv4cRjTwg1kaBJQg
39.3183799,-95.435853,66088,ChIJMUoMMgihv4cRPJIpWXEeiJw
39.0962714,-95.5302337,66429,ChIJfbq1rjEPv4cRTduHzVU9hD4
39.0962714,-95.5302337,66429,ChIJfbq1rjEPv4cRTduHzVU9hD4
39.3477038,-95.2475518,66097,ChIJ44S9ityav4cRfDlbirMCJZc
